"Customer.ID","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score"
12478,4,1,680.99,4,1,2,412
12479,12,1,527.2,4,1,2,412
12480,29,7,5464.85,3,3,4,334
12481,23,15,12361.39,4,4,4,444
12482,577,29,23691.4,1,4,4,144
12483,18,19,5120.58,4,4,4,444
12484,33,12,6370.15,3,4,4,344
12485,530,1,708.1,1,1,2,112
12486,432,1,1037.28,1,1,3,113
12487,731,1,285.3,1,1,1,111
12488,10,3,1298.66,4,2,3,423
12489,337,1,334.93,2,1,1,211
12490,6,21,9823.64000000001,4,4,4,444
12491,39,1,460.4,3,1,2,312
12492,64,3,715.21,3,2,2,322
12493,166,2,433.74,2,2,2,222
12494,16,9,1872.87,4,4,3,443
12495,641,1,357.4,1,1,2,112
12496,621,2,54.09,1,2,1,121
12497,82,3,6248.5,3,2,4,324
12498,22,3,403.7,4,2,2,422
12499,561,1,393.72,1,1,2,112
12500,24,19,5955.21,4,4,4,444
12501,337,1,2169.39,2,1,3,213
12502,96,5,3723.87,2,3,4,234
12503,585,1,1126,1,1,3,113
12504,19,4,779.05,4,3,2,432
12505,409,1,955.2,1,1,3,113
12506,233,1,73.5,2,1,1,211
12507,135,4,1844.06,2,3,3,233
12508,27,2,398.27,3,2,2,322
12509,285,1,176.5,2,1,1,211
12510,143,9,5178.02,2,4,4,244
12511,429,1,3084.02,1,1,4,114
12512,67,2,138.03,3,2,1,321
12513,113,1,612.29,2,1,2,212
12514,268,2,1597.76,2,2,3,223
12515,354,1,383.7,2,1,2,212
12516,78,4,2648.62,3,3,4,334
12517,29,5,2502.84,3,3,4,334
12518,1,5,2056.89,4,3,3,433
12519,64,2,726.54,3,2,2,322
12520,80,5,2634.26,3,3,4,334
12521,143,1,599.68,2,1,2,212
12522,40,2,192.72,3,2,1,321
12523,20,23,4372.15,4,4,4,444
12524,10,17,11126.11,4,4,4,444
12525,499,3,973.73,1,2,3,123
12526,1,3,1316.66,4,2,3,423
12527,82,5,735.51,3,3,2,332
12528,10,6,1933.48,4,3,3,433
12529,529,1,316.48,1,1,1,111
12530,60,9,3759.26,3,4,4,344
12531,15,2,1933.2,4,2,3,423
12532,31,1,349.83,3,1,2,312
12533,628,2,1367.89,1,2,3,123
12534,131,1,1089.18,2,1,3,213
12535,92,2,716.35,3,2,2,322
12536,44,3,12601.83,3,2,4,324
12537,409,1,732.94,1,1,2,112
12538,30,2,640.45,3,2,2,322
12539,23,7,11214.75,4,3,4,434
12540,20,33,22254.49,4,4,4,444
12541,30,3,981.18,3,2,3,323
12542,485,2,481.88,1,2,2,122
12543,449,1,980.25,1,1,3,113
12544,37,1,372.7,3,1,2,312
12545,76,2,1000.39,3,2,3,323
12546,47,2,1161.5,3,2,3,323
12547,198,3,383.58,2,2,2,222
12548,167,1,95.2,2,1,1,211
12549,576,6,1575.68,1,3,3,133
12550,80,1,964.829999999999,3,1,3,313
12551,358,1,168,2,1,1,211
12552,39,2,437.82,3,2,2,322
12553,9,12,4608.75,4,4,4,444
12554,449,1,468.5,1,1,2,112
12555,683,1,129.23,1,1,1,111
12556,51,2,603.71,3,2,2,322
12557,17,8,18716.14,4,4,4,444
12558,8,1,269.96,4,1,1,411
12559,311,2,561.71,2,2,2,222
12560,6,3,2134.01,4,2,3,423
12561,303,1,238.85,2,1,1,211
12562,9,9,4966.92,4,4,4,444
12563,409,1,249.24,1,1,1,111
12564,262,1,456.9,2,1,2,212
12565,289,1,145.92,2,1,1,211
12566,87,1,351.65,3,1,2,312
12567,23,15,13709.86,4,4,4,444
12568,645,1,70,1,1,1,111
12569,3,32,4124.69,4,4,4,444
12570,683,1,77.52,1,1,1,111
12571,40,2,519.61,3,2,2,322
12572,9,2,1020.42,4,2,3,423
12573,228,5,717.41,2,3,2,232
12574,316,1,218.45,2,1,1,211
12575,458,2,622.82,1,2,2,122
12576,36,8,2142.72,3,4,3,343
12577,36,8,1653.75,3,4,3,343
12578,22,4,4642.45,4,3,4,434
12579,79,1,440.42,3,1,2,312
12580,247,2,1052.9,2,2,3,223
12581,40,1,197.71,3,1,1,311
12582,239,4,1980.4,2,3,3,233
12583,3,27,14447.44,4,4,4,444
12584,4,9,2338.15,4,4,4,444
12585,235,2,2040.1,2,2,3,223
12586,18,4,2062.67,4,3,3,433
12587,8,1,144,4,1,1,411
12588,40,4,958.78,3,3,3,333
12589,29,8,4695.66,3,4,4,344
12590,212,2,9864.26,2,2,4,224
12591,318,3,1352.15,2,2,3,223
12592,93,5,2582.66,3,3,4,334
12593,109,3,418.1,2,2,2,222
12594,38,15,5090.11,3,4,4,344
12595,505,1,299.02,1,1,1,111
12596,52,2,618.27,3,2,2,322
12597,20,4,3811.22,4,3,4,434
12598,10,11,4534.09,4,4,4,444
12599,30,13,2296.72,3,4,3,343
12600,29,21,5043.92,3,4,4,344
12601,190,6,681.26,2,3,2,232
12602,59,1,153.12,3,1,1,311
12603,22,1,739.2,4,1,2,412
12604,80,2,254.18,3,2,1,321
12605,377,4,1232.95,2,3,3,233
12606,683,1,21,1,1,1,111
12607,61,1,1579.51,3,1,3,313
12608,405,1,415.79,1,1,2,112
12609,79,9,3435.86,3,4,4,344
12610,23,5,2099.54,4,3,3,433
12611,53,1,1193.32,3,1,3,313
12612,75,1,704.04,3,1,2,312
12613,58,10,6835.07000000001,3,4,4,344
12614,278,1,315.6,2,1,1,211
12615,3,8,5740.98,4,4,4,444
12616,96,3,1131.1,2,2,3,223
12617,30,1,355.53,3,1,2,312
12618,22,1,177.31,4,1,1,411
12619,17,10,3781.38,4,4,4,444
12620,15,3,1339.41,4,2,3,423
12621,2,35,24775.81,4,4,4,444
12622,233,1,180.1,2,1,1,211
12623,277,7,3747.84,2,3,4,234
12624,107,2,641.13,2,2,2,222
12625,212,4,5164.88,2,3,4,234
12626,24,9,6620.48,4,4,4,444
12627,11,7,4478.53,4,3,4,434
12628,5,3,786.46,4,2,2,422
12629,386,2,1558.22,1,2,3,123
12630,10,2,1270.88,4,2,3,423
12631,58,6,3481.57,3,3,4,334
12632,521,2,804.88,1,2,2,122
12633,59,7,5678.16,3,3,4,334
12634,536,2,490,1,2,2,122
12635,90,4,2930.41,3,3,4,334
12636,739,1,141,1,1,1,111
12637,68,12,8340.31000000001,3,4,4,344
12638,34,2,921.49,3,2,3,323
12639,239,3,1312.37,2,2,3,223
12640,24,3,1174.58,4,2,3,423
12641,116,1,185.9,2,1,1,211
12642,26,3,1013.26,3,2,3,323
12643,129,12,8350.42,2,4,4,244
12644,130,4,1918.49,2,3,3,233
12645,34,8,3539.3,3,4,4,344
12646,5,2,1346.97,4,2,3,423
12647,23,36,17924.35,4,4,4,444
12648,155,4,1112,2,3,3,233
12649,108,8,2294.65,2,4,3,243
12650,4,1,314.44,4,1,1,411
12651,335,4,377.75,2,3,2,232
12652,332,2,1017.03,2,2,3,223
12653,149,3,4160.83,2,2,4,224
12654,11,5,601.98,4,3,2,432
12655,424,1,261.35,1,1,1,111
12656,18,8,6407.83,4,4,4,444
12657,12,4,1643.18,4,3,3,433
12658,19,1,686.05,4,1,2,412
12659,30,1,91.68,3,1,1,311
12660,12,1,245.1,4,1,1,411
12661,437,1,162,1,1,1,111
12662,1,20,6988.02000000001,4,4,4,444
12663,625,2,239.4,1,2,1,121
12664,9,11,6070.04,4,4,4,444
12665,325,3,313.6,2,2,1,221
12666,395,1,1248.42,1,1,3,113
12667,59,1,620.13,3,1,2,312
12668,12,10,11444.68,4,4,4,444
12669,151,3,2744.03,2,2,4,224
12670,11,7,3760.29,4,3,4,434
12671,607,1,2622.481,1,1,4,114
12672,330,2,437.05,2,2,2,222
12673,6,3,1230.02,4,2,3,423
12674,39,4,1970.6,3,3,3,333
12675,554,2,958.5,1,2,3,123
12676,25,11,2843.09,4,4,4,444
12677,556,2,395.1,1,2,2,122
12678,43,21,34281.18,3,4,4,344
12679,59,4,1113.02,3,3,3,333
12680,1,4,880.81,4,3,2,432
12681,15,45,30868.28,4,4,4,444
12682,4,52,24033.91,4,4,4,444
12683,5,21,12696.78,4,4,4,444
12684,8,7,2283.63,4,3,3,433
12685,29,6,2863.08,3,3,4,334
12686,372,1,178.28,2,1,1,211
12687,481,2,2138.91,1,2,3,123
12688,114,1,4873.81,2,1,4,214
12689,26,2,1247.61,3,2,3,323
12690,206,1,389.01,2,1,2,212
12691,29,7,1170.4,3,3,3,333
12692,638,1,110.95,1,1,1,111
12693,128,7,1703.02,2,3,3,233
12694,71,3,1843.35,3,2,3,323
12695,8,7,1407.12,4,3,3,433
12696,435,2,851.91,1,2,2,122
12697,29,3,957.59,3,2,3,323
12698,591,1,339.75,1,1,1,111
12699,418,1,638.11,1,1,2,112
12700,8,4,4939.99000000001,4,3,4,434
12701,80,6,2446.41,3,3,4,334
12702,20,1,219,4,1,1,411
12703,72,4,1006.53,3,3,3,333
12704,8,8,2340.84,4,4,4,444
12705,16,14,11762.1,4,4,4,444
12707,292,1,603.42,2,1,2,212
12708,30,18,5314.1,3,4,4,344
12709,16,34,31093.34,4,4,4,444
12710,97,3,1149.02,2,2,3,223
12711,612,2,1339.05,1,2,3,123
12712,29,21,7193.66,3,4,4,344
12713,1,1,848.55,4,1,2,412
12714,10,12,14093.71,4,4,4,444
12715,107,1,353.86,2,1,2,212
12716,4,2,1053.49,4,2,3,423
12717,152,3,1308.91,2,2,3,223
12718,72,1,238.25,3,1,1,311
12719,6,2,644.95,4,2,2,422
12720,3,30,8260.67,4,4,4,444
12721,32,8,4013.08,3,4,4,344
12722,86,4,997.63,3,3,3,333
12723,4,5,725.07,4,3,2,432
12724,6,7,2317.52,4,3,4,434
12725,372,4,2694.56,2,3,4,234
12726,29,11,4014.6,3,4,4,344
12727,11,10,5679.53,4,4,4,444
12728,72,5,1070.17,3,3,3,333
12729,114,1,453.01,2,1,2,212
12730,522,1,829.25,1,1,2,112
12731,24,17,25775.71,4,4,4,444
12732,180,1,236.26,2,1,1,211
12733,235,4,2424.87,2,3,4,234
12734,353,3,639.65,2,2,2,222
12735,316,2,779.57,2,2,2,222
12736,333,1,234,2,1,1,211
12737,499,2,3710.5,1,2,4,124
12738,373,1,310.7,2,1,1,211
12739,79,4,2726.73,3,3,4,334
12740,64,1,427.6,3,1,2,312
12741,530,2,406.07,1,2,2,122
12742,626,1,1201.52,1,1,3,113
12743,135,2,546.43,2,2,2,222
12744,52,11,25317.06,3,4,4,344
12745,487,3,925.41,1,2,3,123
12746,541,1,254.55,1,1,1,111
12747,3,26,9276.54000000001,4,4,4,444
12748,1,337,56599.3899999997,4,4,4,444
12749,4,9,6897.36,4,4,4,444
12750,129,1,275.88,2,1,1,211
12751,445,1,268.27,1,1,1,111
12752,82,1,4366.78,3,1,4,314
12753,23,6,21429.39,4,3,4,434
12754,236,3,3010.74,2,2,4,224
12755,281,11,9030.66,2,4,4,244
12756,87,1,112.08,3,1,1,311
12757,16,13,7857.1,4,4,4,444
12758,117,7,9903.24,2,3,4,234
12759,53,8,5020.73999999999,3,4,4,344
12760,456,1,347.8,1,1,1,111
12761,458,2,782.95,1,2,2,122
12762,8,2,1898.52,4,2,3,423
12763,139,2,814.16,2,2,2,222
12764,317,1,1693.88,2,1,3,213
12765,473,6,1404.58,1,3,3,133
12766,4,9,10068.28,4,4,4,444
12767,376,1,949.82,2,1,3,213
12768,451,1,168.69,1,1,1,111
12769,239,1,1143.6,2,1,3,213
12770,211,2,3246.45,2,2,4,224
12771,486,1,282.3,1,1,1,111
12772,60,1,892.47,3,1,2,312
12773,565,1,124.25,1,1,1,111
12774,536,1,98.7,1,1,1,111
12775,18,7,1686.12,4,3,3,433
12776,668,1,55.5,1,1,1,111
12777,458,1,519.45,1,1,2,112
12778,20,9,1775.68,4,4,3,443
12779,38,14,6722.27,3,4,4,344
12780,599,1,337.4,1,1,1,111
12781,64,2,826.74,3,2,2,322
12782,5,11,4618.24,4,4,4,444
12783,3,6,2225.91,4,3,3,433
12784,10,3,1804.75,4,2,3,423
12785,365,3,1100.4,2,2,3,223
12786,610,1,728.5,1,1,2,112
12787,10,4,862.18,4,3,2,432
12788,464,4,444.9,1,3,2,132
12789,66,3,273.35,3,2,1,321
12790,193,2,591.85,2,2,2,222
12791,374,6,1056.11,2,3,3,233
12792,257,2,827.01,2,2,2,222
12793,335,3,1017.33,2,2,3,223
12794,54,2,860.41,3,2,2,322
12795,19,1,430.48,4,1,2,412
12796,629,1,381,1,1,2,112
12797,366,2,806.11,2,2,2,222
12798,11,4,8510.93,4,3,4,434
12799,530,1,219.35,1,1,1,111
12800,471,3,584.25,1,2,2,122
12801,501,1,1071.82,1,1,3,113
12802,187,7,2416.42,2,3,4,234
12803,394,1,1092.81,1,1,3,113
12804,466,2,327.02,1,2,1,121
12805,382,4,1434.95,1,3,3,133
12806,436,4,2878.96,1,3,4,134
12807,384,1,330.35,1,1,1,111
12808,37,5,906.1,3,3,3,333
12809,178,3,1755.94,2,2,3,223
12810,535,2,534.99,1,2,2,122
12811,261,5,1033.9,2,3,3,233
12812,45,1,229.64,3,1,1,311
12813,502,3,1687.8,1,2,3,123
12814,102,1,125.92,2,1,1,211
12815,148,2,1063.46,2,2,3,223
12816,96,2,572.2,2,2,2,222
12817,282,3,690.98,2,2,2,222
12818,262,1,1542.08,2,1,3,213
12819,459,1,540.52,1,1,2,112
12820,4,11,2689.52,4,4,4,444
12821,215,2,220.8,2,2,1,221
12822,71,2,948.88,3,2,3,323
12823,75,18,6501.5,3,4,4,344
12824,60,1,397.12,3,1,2,312
12825,522,2,518.63,1,2,2,122
12826,3,12,2955.75,4,4,4,444
12827,6,3,430.15,4,2,2,422
12828,3,6,1018.71,4,3,3,433
12829,337,3,385.3,2,2,2,222
12830,38,6,6814.64,3,3,4,334
12831,263,3,451.11,2,2,2,222
12832,33,2,383.03,3,2,2,322
12833,146,1,417.38,2,1,2,212
12834,283,1,312.38,2,1,1,211
12835,428,41,6043.30999999998,1,4,4,144
12836,60,15,6585.61999999999,3,4,4,344
12837,174,2,688.41,2,2,2,222
12838,34,10,3398.48,3,4,4,344
12839,3,26,10071.73,4,4,4,444
12840,144,7,4041.97,2,3,4,234
12841,5,40,7540.67999999999,4,4,4,444
12842,71,4,1917.99,3,3,3,333
12843,66,30,6588.41,3,4,4,344
12844,30,4,648.6,3,3,2,332
12845,268,4,354.09,2,3,2,232
12846,683,1,15.58,1,1,1,111
12847,23,2,1636.9,4,2,3,423
12848,676,1,208,1,1,1,111
12849,32,6,3090.56,3,3,4,334
12850,446,1,330,1,1,1,111
12851,97,2,284.13,2,2,1,221
12852,295,1,311.55,2,1,1,211
12853,135,11,3907.5,2,4,4,244
12854,79,7,2994.02,3,3,4,334
12855,373,4,650.94,2,3,2,232
12856,8,6,2179.93,4,3,3,433
12857,211,6,3688,2,3,4,234
12858,384,1,177.92,1,1,1,111
12859,459,1,575.1,1,1,2,112
12860,694,1,55.47,1,1,1,111
12861,620,1,68.25,1,1,1,111
12862,426,2,1008.32,1,2,3,123
12863,53,6,2792.55,3,3,4,334
12864,139,2,299.57,2,2,1,221
12865,27,4,3323.47,3,3,4,334
12866,284,3,1227.35,2,2,3,223
12867,27,13,7913.28999999999,3,4,4,344
12868,186,8,2247.06,2,4,3,243
12869,682,1,337.67,1,1,1,111
12870,376,3,1676.95,2,2,3,223
12871,85,3,744.02,3,2,2,322
12872,327,12,3685.49,2,4,4,244
12873,283,3,2027.3,2,2,3,223
12874,386,2,948.42,1,2,3,123
12875,144,5,1356.99,2,3,3,233
12876,58,4,4081.79,3,3,4,334
12877,4,20,2955.17,4,4,4,444
12878,237,2,854.99,2,2,2,222
12879,45,3,573.22,3,2,2,322
12880,382,2,640.13,1,2,2,122
12881,276,1,298,2,1,1,211
12882,10,2,1463.04,4,2,3,423
12883,25,4,703.47,4,3,2,432
12884,89,1,309.05,3,1,1,311
12885,64,3,1175.22,3,2,3,323
12886,68,2,1378.4,3,2,3,323
12887,384,1,222.4,1,1,1,111
12888,215,2,354.12,2,2,2,222
12889,382,4,385.46,1,3,2,132
12890,25,2,717.27,4,2,2,422
12891,186,11,840.5,2,4,2,242
12892,397,1,263.38,1,1,1,111
12893,31,1,188.14,3,1,1,311
12894,576,1,157.35,1,1,1,111
12895,43,2,372.8,3,2,2,322
12897,205,4,514.25,2,3,2,232
12898,464,2,310.96,1,2,1,121
12899,414,1,366.4,1,1,2,112
12900,423,1,340.33,1,1,1,111
12901,9,28,17654.54,4,4,4,444
12902,265,1,138.68,2,1,1,211
12903,429,1,833.53,1,1,2,112
12904,19,2,509.58,4,2,2,422
12905,577,2,1018.42,1,2,3,123
12906,12,5,2919.81,4,3,4,434
12907,396,2,508.91,1,2,2,122
12908,177,5,1776,2,3,3,233
12909,40,8,3103.19,3,4,4,344
12910,24,13,5796.52,4,4,4,444
12911,552,1,1680.47,1,1,3,113
12912,3,5,1662.3,4,3,3,433
12913,5,13,6700.86,4,4,4,444
12914,401,1,223.98,1,1,1,111
12915,149,4,1174.75,2,3,3,233
12916,139,7,4654.02,2,3,4,234
12917,129,6,4359.2,2,3,4,234
12918,627,1,10953.5,1,1,4,114
12919,9,6,1335.19,4,3,3,433
12920,18,4,488.09,4,3,2,432
12921,10,74,35921.0400000001,4,4,4,444
12922,162,1,405.38,2,1,2,212
12923,65,3,789.87,3,2,2,322
12924,89,12,2469.4,3,4,4,344
12925,5,3,729.33,4,2,2,422
12926,412,4,1548.46,1,3,3,133
12927,395,1,197.31,1,1,1,111
12928,36,12,4304.89,3,4,4,344
12929,312,1,117.85,2,1,1,211
12930,79,2,415.8,3,2,2,322
12931,22,57,92347.34,4,4,4,444
12932,540,8,1698.56,1,4,3,143
12933,25,8,1687.03,4,4,3,443
12934,737,1,181.65,1,1,1,111
12935,3,15,4243.86,4,4,4,444
12936,18,4,1063.9,4,3,3,433
12937,16,9,3097.61,4,4,4,444
12938,26,1,114.14,3,1,1,311
12939,65,20,25264.8,3,4,4,344
12940,55,2,913.54,3,2,3,323
12941,725,1,377.49,1,1,2,112
12942,132,3,942.65,2,2,3,223
12943,559,2,496.5,1,2,2,122
12944,36,2,604.51,3,2,2,322
12945,289,2,900.11,2,2,3,223
12946,437,1,324.45,1,1,1,111
12947,144,6,1908.03,2,3,3,233
12948,17,9,2317.43,4,4,4,444
12949,31,22,15526.7,3,4,4,344
12950,3,3,1843,4,2,3,423
12951,9,15,3213.72,4,4,4,444
12952,6,4,1387.79,4,3,3,433
12953,10,2,828.81,4,2,2,422
12954,639,1,162.45,1,1,1,111
12955,2,11,4757.16,4,4,4,444
12956,307,4,521.89,2,3,2,232
12957,10,13,8706.97,4,4,4,444
12958,401,2,539.49,1,2,2,122
12959,485,1,150.95,1,1,1,111
12960,414,4,1322.07,1,3,3,133
12961,380,1,211.99,1,1,1,111
12962,8,2,266.39,4,2,1,421
12963,9,12,3601.59,4,4,4,444
12964,438,1,132.24,1,1,1,111
12965,90,1,771.91,3,1,2,312
12966,10,1,160.18,4,1,1,411
12967,359,3,4306.92,2,2,4,224
12968,113,1,135.95,2,1,1,211
12969,603,1,122.45,1,1,1,111
12970,8,10,1524.97,4,4,3,443
12971,4,116,15972.79,4,4,4,444
12972,414,4,1161.2,1,3,3,133
12973,414,1,385.55,1,1,2,112
12974,198,2,408.95,2,2,2,222
12975,437,6,2100.09,1,3,3,133
12976,212,8,3156.38,2,4,4,244
12977,157,4,517.63,2,3,2,232
12978,386,5,2502.82,1,3,4,134
12979,730,1,517.7,1,1,2,112
12980,158,21,16245.78,2,4,4,244
12981,30,2,372.22,3,2,2,322
12982,243,8,2744.81,2,4,4,244
12983,599,1,490.08,1,1,2,112
12984,19,1,97.5,4,1,1,411
12985,1,2,1239.38,4,2,3,423
12986,429,10,2729.84,1,4,4,144
12987,74,5,1312.21,3,3,3,333
12988,293,1,535.32,2,1,2,212
12989,4,33,13551.75,4,4,4,444
12990,32,7,955.5,3,3,3,333
12991,24,3,764.82,4,2,2,422
12992,726,1,93.35,1,1,1,111
12993,24,8,1259.63,4,4,3,443
12994,5,3,974.42,4,2,3,423
12995,86,1,211.32,3,1,1,311
12996,376,1,355.5,2,1,2,212
12997,23,8,2110.91,4,4,3,443
12998,493,3,920.08,1,2,3,123
12999,197,3,455.88,2,2,2,222
13000,107,4,1032.5,2,3,3,233
13001,5,33,24172.1,4,4,4,444
13002,319,3,414.13,2,2,2,222
13003,106,3,149.05,2,2,1,221
13004,12,36,11650.85,4,4,4,444
13005,174,4,999.68,2,3,3,233
13006,57,1,81.57,3,1,1,311
13007,580,1,175.25,1,1,1,111
13008,324,3,612.13,2,2,2,222
13009,673,1,234,1,1,1,111
13010,375,2,330.12,2,2,1,221
13011,373,1,101.1,2,1,1,211
13012,10,11,2972.83,4,4,4,444
13013,2,29,12625.77,4,4,4,444
13014,11,11,5381.08,4,4,4,444
13015,54,11,6586.42,3,4,4,344
13016,74,3,789.89,3,2,2,322
13017,8,1,204,4,1,1,411
13018,17,35,9763.16,4,4,4,444
13019,380,6,1229.95,2,3,3,233
13020,563,2,618.96,1,2,2,122
13021,5,17,4887.24,4,4,4,444
13022,430,1,65.3,1,1,1,111
13023,65,3,1449.03,3,2,3,323
13024,471,2,555.87,1,2,2,122
13025,732,1,323.39,1,1,1,111
13026,2,9,1733.08,4,4,3,443
13027,114,19,17335.2,2,4,4,244
13028,23,2,661.32,4,2,2,422
13029,31,5,1927.3,3,3,3,333
13030,12,2,1227.22,4,2,3,423
13031,408,5,3419.27,1,3,4,134
13032,53,9,2843.55,3,4,4,344
13033,358,2,220.55,2,2,1,221
13034,55,3,922.68,3,2,3,323
13035,74,3,1364.2,3,2,3,323
13036,685,1,307.1,1,1,1,111
13037,139,12,3914.95,2,4,4,244
13038,81,3,908.46,3,2,3,323
13039,585,4,1010.73,1,3,3,133
13040,9,2,676.99,4,2,2,422
13041,451,4,799.13,1,3,2,132
13042,599,3,1556.54,1,2,3,123
13043,274,1,516.42,2,1,2,212
13044,292,11,4853.9,2,4,4,244
13045,100,3,808.92,2,2,2,222
13046,31,3,949.25,3,2,3,323
13047,32,24,8795.16,3,4,4,344
13048,15,9,4084.21,4,4,4,444
13049,65,4,1408.24,3,3,3,333
13050,15,35,12344.53,4,4,4,444
13051,579,2,155.8,1,2,1,121
13052,213,7,3168.53,2,3,4,234
13053,622,1,127.65,1,1,1,111
13055,79,4,2321.11,3,3,4,334
13056,552,1,209.48,1,1,1,111
13057,531,3,722.09,1,2,2,122
13058,25,3,271.4,4,2,1,421
13059,250,10,2303.17,2,4,3,243
13060,254,1,307.53,2,1,1,211
